COG_letter	COG_description	COG_category	COG_number	annotation	cluster
P	Ferric iron reductase protein FhuF, involved in iron transport	Inorganic ion transport and metabolism	COG4114	P:[Inorganic ion transport and metabolism]	1
J	tRNA U34 sulfur transfer complex TusBCD TusD component, DsrE family	Translation, ribosomal structure and biogenesis	COG1553	J:[Translation, ribosomal structure and biogenesis]	1
Q	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	Secondary metabolites biosynthesis, transport and catabolism	COG2977	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
M	Poly-D-alanine transfer protein DltD, involved in esterification of teichoic acids	Cell wall/membrane/envelope biogenesis	COG3966	M:[Cell wall/membrane/envelope biogenesis]	1
V	Membrane protein AmpE required for beta-lactamase induction	Defense mechanisms	COG3725	V:[Defense mechanisms]	1
G	D-ribose pyranose/furanose isomerase RbsD	Carbohydrate transport and metabolism	COG1869	G:[Carbohydrate transport and metabolism]	1
G	3-keto-L-gulonate-6-phosphate decarboxylase	Carbohydrate transport and metabolism	COG0269	G:[Carbohydrate transport and metabolism]	1
G	Phosphotransferase system, galactitol-specific IIC component	Carbohydrate transport and metabolism	COG3775	G:[Carbohydrate transport and metabolism]	1
M	Outer membrane lipoprotein LpoB, binds and activates PBP1b	Cell wall/membrane/envelope biogenesis	COG3417	M:[Cell wall/membrane/envelope biogenesis]	1
E	Amino acid permease	Amino acid transport and metabolism	COG0814	E:[Amino acid transport and metabolism]	1
C	Na+/citrate or Na+/malate symporter	Energy production and conversion	COG3493	C:[Energy production and conversion]	1
V	Glyoxalase ElbB, DJ-1 superfamily	Defense mechanisms	COG3155	V:[Defense mechanisms]	1
C	Azurin	Energy production and conversion	COG3241	C:[Energy production and conversion]	1
Q	Alpha-acetolactate decarboxylase	Secondary metabolites biosynthesis, transport and catabolism	COG3527	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
J	tRNA U34 sulfur transfer complex TusBCD TusE component, DsrC family	Translation, ribosomal structure and biogenesis	COG2920	J:[Translation, ribosomal structure and biogenesis]	1
T	Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains	Signal transduction mechanisms	COG4943	T:[Signal transduction mechanisms]	1
I	CDP-diacylglycerol pyrophosphatase	Lipid transport and metabolism	COG2134	I:[Lipid transport and metabolism]	1
S	Uncharacterized conserved protein YkuJ, DUF1797 family	Function unknown	COG4703	S:[Function unknown]	1
K	DNA-binding transcriptional regulator SgrR of sgrS sRNA, contains a MarR-type HTH domain and a periplasmic-type solute-binding domain	Transcription	COG4533	K:[Transcription]	1
R	Patatin-like phospholipase/acyl hydrolase, includes sporulation protein CotR	General function prediction only	COG3621	R:[General function prediction only]	1
V	Antitoxin component HigA of the HigAB toxin-antitoxin module, contains an N-terminal HTH domain	Defense mechanisms	COG5499	V:[Defense mechanisms]	1
D	Cell division protein FtsL, bacillar variant	Cell cycle control, cell division, chromosome partitioning	COG4839	D:[Cell cycle control, cell division, chromosome partitioning]	1
L	Adenine-specific DNA N6-methylase	Replication, recombination and repair	COG0827	L:[Replication, recombination and repair]	1
S	Uncharacterized conserved protein YpmB, contains C-terminal PepSY domain	Function unknown	COG5353	S:[Function unknown]	1
S	Uncharacterized conserved protein YqgQ, DUF910 family	Function unknown	COG4483	S:[Function unknown]	1
D	Septation ring formation regulator EzrA	Cell cycle control, cell division, chromosome partitioning	COG4477	D:[Cell cycle control, cell division, chromosome partitioning]	1
S	General stress protein CsbA (function unknown)	Function unknown	COG4897	S:[Function unknown]	1
E	Citrulline hydrolase RocB	Amino acid transport and metabolism	COG4187	E:[Amino acid transport and metabolism]	1
T	YycI protein, regulator of the WalKR two-component signal transduction system	Signal transduction mechanisms	COG4853	T:[Signal transduction mechanisms]	1
T	YycH protein, regulator of the WalKR two-component signal transduction system	Signal transduction mechanisms	COG4863	T:[Signal transduction mechanisms]	1
R	Competence protein CoiA, contains predicted nuclease domain	General function prediction only	COG4469	R:[General function prediction only]	1
G	Glucose uptake protein GlcU	Carbohydrate transport and metabolism	COG4975	G:[Carbohydrate transport and metabolism]	1
F	Anaerobic ribonucleoside-triphosphate reductase	Nucleotide transport and metabolism	COG1328	F:[Nucleotide transport and metabolism]	1
L	Replication initiation and membrane attachment protein DnaB	Replication, recombination and repair	COG3611	L:[Replication, recombination and repair]	1
S	Uncharacterized conserved protein YutD, DUF1027 family	Function unknown	COG4470	S:[Function unknown]	1
T	Cell fate regulator YmcA, YheA/YmcA/DUF963 family (controls sporulation, competence, biofilm development)	Signal transduction mechanisms	COG4550	T:[Signal transduction mechanisms]	1
R	Predicted periplasmic protein with OB-fold, involved in stress response, YdeI/OmdA family	General function prediction only	COG3111	R:[General function prediction only]	1
R	Predicted triphosphatase or cyclase YjbK, contains CYTH domain	General function prediction only	COG4116	R:[General function prediction only]	1
D	Spore germination protein GerM	Cell cycle control, cell division, chromosome partitioning	COG5401	D:[Cell cycle control, cell division, chromosome partitioning]	1
K	Negative regulator MecA of genetic competence, sporulation and motility	Transcription	COG4862	K:[Transcription]	1
L	Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)	Replication, recombination and repair	COG0699	L:[Replication, recombination and repair]	1
T	Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains	Signal transduction mechanisms	COG4753	T:[Signal transduction mechanisms]	1
L	Superfamily II DNA/RNA helicase required for DNA uptake (late competence protein)	Replication, recombination and repair	COG4098	L:[Replication, recombination and repair]	1
K	Glycerol-3-phosphate responsive antiterminator (mRNA-binding)	Transcription	COG1954	K:[Transcription]	1
E	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase (methionine salvage)	Amino acid transport and metabolism	COG4359	E:[Amino acid transport and metabolism]	1
X	Predicted site-specific integrase-resolvase	Mobilome: prophages, transposons	COG2452	X:[Mobilome: prophages, transposons]	1
R	Penicillin-binding protein-related factor A, putative recombinase	General function prediction only	COG3331	R:[General function prediction only]	1
M	Spore coat protein CotF	Cell wall/membrane/envelope biogenesis	COG5577	M:[Cell wall/membrane/envelope biogenesis]	1
T	Sensor histidine kinase YesM	Signal transduction mechanisms	COG2972	T:[Signal transduction mechanisms]	1
L	Regulator of replication initiation timing YabA	Replication, recombination and repair	COG4467	L:[Replication, recombination and repair]	1
G	Ascorbate-specific PTS system IIC component UlaA	Carbohydrate transport and metabolism	COG3037	G:[Carbohydrate transport and metabolism]	1
E	L-cystine transporter TcyP, sodium:dicarboxylate symporter family	Amino acid transport and metabolism	COG1823	E:[Amino acid transport and metabolism]	1
S	Uncharacterized conserved protein YueI, DUF2278 family	Function unknown	COG5506	S:[Function unknown]	1
K	Transcriptional antiterminator	Transcription	COG3711	K:[Transcription]	1
G	Fructose-1,6-bisphosphatase	Carbohydrate transport and metabolism	COG3855	G:[Carbohydrate transport and metabolism]	1
T	Membrane protein LiaF, inhibitor of the LiaRS two-component envelope stress sensory system	Signal transduction mechanisms	COG4758	T:[Signal transduction mechanisms]	1
G	Phosphotransferase system, mannitol-specific IIBC component	Carbohydrate transport and metabolism	COG2213	G:[Carbohydrate transport and metabolism]	1
Q	Limonene-1,2-epoxide hydrolase LimA/EphG	Secondary metabolites biosynthesis, transport and catabolism	COG4308	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
R	Uncharacterized conserved protein YqfW, HAD superfamily	General function prediction only	COG5663	R:[General function prediction only]	1
M	LD-carboxypeptidase LdcB, LAS superfamily	Cell wall/membrane/envelope biogenesis	COG1876	M:[Cell wall/membrane/envelope biogenesis]	1
N	Pilin (type 1 fimbrial protein)	Cell motility	COG3539	N:[Cell motility]	1
R	Predicted RNA-binding protein, contains ribosomal protein S1 (RPS1) domain	General function prediction only	COG1098	R:[General function prediction only]	1
D	Spore cortex hydrolase SleL/YaaH, N-acetylglucosaminidase of GH18 family	Cell cycle control, cell division, chromosome partitioning	COG3858	D:[Cell cycle control, cell division, chromosome partitioning]	1
M	Spore coat protein CotH	Cell wall/membrane/envelope biogenesis	COG5337	M:[Cell wall/membrane/envelope biogenesis]	1
H	p-Aminobenzoyl-glutamate transporter AbgT	Coenzyme transport and metabolism	COG2978	H:[Coenzyme transport and metabolism]	1
F	Flavodoxin NrdI, NrdF-interacting activator of class Ib ribonucleotide reductase	Nucleotide transport and metabolism	COG1780	F:[Nucleotide transport and metabolism]	1
L	DNA replication protein DnaD	Replication, recombination and repair	COG3935	L:[Replication, recombination and repair]	1
H	Nicotinamide mononucleotide adenylyltransferase	Coenzyme transport and metabolism	COG1056	H:[Coenzyme transport and metabolism]	1
P	ABC-type enterochelin transport system, permease component	Inorganic ion transport and metabolism	COG4606	P:[Inorganic ion transport and metabolism]	1
G	Phosphotransferase system, galactitol-specific IIB component	Carbohydrate transport and metabolism	COG3414	G:[Carbohydrate transport and metabolism]	1
P	ABC-type enterochelin transport system, ATPase component	Inorganic ion transport and metabolism	COG4604	P:[Inorganic ion transport and metabolism]	1
P	ABC-type enterochelin transport system, permease component	Inorganic ion transport and metabolism	COG4605	P:[Inorganic ion transport and metabolism]	1
P	ABC-type enterochelin transport system, periplasmic component	Inorganic ion transport and metabolism	COG4607	P:[Inorganic ion transport and metabolism]	1
S	Uncharacterized conserved protein YpuA, DUF1002 family	Function unknown	COG4086	S:[Function unknown]	1
S	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	Function unknown	COG1511	S:[Function unknown]	1
T	S-ribosylhomocysteine lyase LuxS, autoinducer biosynthesis	Signal transduction mechanisms	COG1854	T:[Signal transduction mechanisms]	1
G	ABC-type polysaccharide transport system, permease component	Carbohydrate transport and metabolism	COG4209	G:[Carbohydrate transport and metabolism]	1
J	5S rRNA maturation ribonuclease M5, contains TOPRIM domain	Translation, ribosomal structure and biogenesis	COG1658	J:[Translation, ribosomal structure and biogenesis]	1
S	Uncharacterized conserved protein Veg, DUF1021 family	Function unknown	COG4466	S:[Function unknown]	1
S	Uncharacterized membrane protein YiaA	Function unknown	COG4682	S:[Function unknown]	1
G	Mannitol/fructose-specific phosphotransferase system, IIA domain	Carbohydrate transport and metabolism	COG4668	G:[Carbohydrate transport and metabolism]	1
S	Outer membrane protein VirK/YbjX involved in antimicrobial peptide resistance, DUF535 family	Function unknown	COG2990	S:[Function unknown]	1
U	Type Vc autotransporter adhesin, Ata/Hia family	Intracellular trafficking, secretion, and vesicular transport	COG5295	U:[Intracellular trafficking, secretion, and vesicular transport]	1
G	Phosphotransferase system cellobiose-specific component IIC	Carbohydrate transport and metabolism	COG1455	G:[Carbohydrate transport and metabolism]	1
G	Phosphotransferase system cellobiose-specific component IIB	Carbohydrate transport and metabolism	COG1440	G:[Carbohydrate transport and metabolism]	1
D	Stage 0 sporulation-control protein Spo0M	Cell cycle control, cell division, chromosome partitioning	COG4326	D:[Cell cycle control, cell division, chromosome partitioning]	1
F	Membrane component QueT of the ECF-type transporter of queuosine precursor	Nucleotide transport and metabolism	COG4708	F:[Nucleotide transport and metabolism]	1
T	Sensor histidine kinase, LytS/YehU family	Signal transduction mechanisms	COG3275	T:[Signal transduction mechanisms]	1
S	Uncharacterized membrane protein YcgQ,  UPF0703/DUF1980 family	Function unknown	COG3689	S:[Function unknown]	1
L	DNA polymerase III, alpha subunit (gram-positive type)	Replication, recombination and repair	COG2176	L:[Replication, recombination and repair]	1
G	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IIC component	Carbohydrate transport and metabolism	COG3715	G:[Carbohydrate transport and metabolism]	1
G	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IID component	Carbohydrate transport and metabolism	COG3716	G:[Carbohydrate transport and metabolism]	1
T	Cyclic di-AMP phosphodiesterase GdpP, contains GGDEF-like and DHH domains	Signal transduction mechanisms	COG3887	T:[Signal transduction mechanisms]	1
G	Phosphotransferase system cellobiose-specific component IIA	Carbohydrate transport and metabolism	COG1447	G:[Carbohydrate transport and metabolism]	1
V	Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family	Defense mechanisms	COG4115	V:[Defense mechanisms]	1
C	Mo-containing formate dehydrogenase ForCE, ForE/YjgD subunit	Energy production and conversion	COG2427	C:[Energy production and conversion]	1
E	Alanine-alpha-ketoisovalerate (or valine-pyruvate) aminotransferase	Amino acid transport and metabolism	COG3977	E:[Amino acid transport and metabolism]	1
D	Spore dipicolinate transporter SpoVV/YjiH/YlbJ, contains nucleoside recognition GATE domain	Cell cycle control, cell division, chromosome partitioning	COG3314	D:[Cell cycle control, cell division, chromosome partitioning]	1
S	Uncharacterized beta-barrel protein YwiB, DUF1934 family	Function unknown	COG4506	S:[Function unknown]	1
P	Nitric oxide synthase, oxygenase domain	Inorganic ion transport and metabolism	COG4362	P:[Inorganic ion transport and metabolism]	1
K	GTP-sensing pleiotropic transcriptional regulator CodY	Transcription	COG4465	K:[Transcription]	1
J	tRNA-Met C34-N4-acetylcytidine synthase TmcAL	Translation, ribosomal structure and biogenesis	COG1323	J:[Translation, ribosomal structure and biogenesis]	1
P	ABC-type taurine transport system, periplasmic component	Inorganic ion transport and metabolism	COG4521	P:[Inorganic ion transport and metabolism]	1
R	ATPase/GTPase, AAA15 family	General function prediction only	COG1106	R:[General function prediction only]	1
C	Ferredoxin	Energy production and conversion	COG1145	C:[Energy production and conversion]	1
O	Lipase chaperone LimK	Posttranslational modification, protein turnover, chaperones	COG5380	O:[Posttranslational modification, protein turnover, chaperones]	1
E	3-dehydroquinate dehydratase, type I	Amino acid transport and metabolism	COG0710	E:[Amino acid transport and metabolism]	1
S	Predicted outer membrane lipoprotein	Function unknown	COG4890	S:[Function unknown]	1
S	Spore maturation protein SpmB (function unknown)	Function unknown	COG0700	S:[Function unknown]	1
V	Bacterial immunity/signal transduction membrane protein SdpI,  SdpI/YbgB/DUF1648 family	Defense mechanisms	COG5658	V:[Defense mechanisms]	1
E	D-serine dehydratase	Amino acid transport and metabolism	COG3048	E:[Amino acid transport and metabolism]	1
M	Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase	Cell wall/membrane/envelope biogenesis	COG1442	M:[Cell wall/membrane/envelope biogenesis]	1
V	Peptide antibiotic transporter SbmA/BacA, ABC-type permease family	Defense mechanisms	COG1133	V:[Defense mechanisms]	1
P	Nitric oxide reductase large subunit	Inorganic ion transport and metabolism	COG3256	P:[Inorganic ion transport and metabolism]	1
G	Tagatose-1,6-bisphosphate aldolase non-catalytic subunit AgaZ/GatZ	Carbohydrate transport and metabolism	COG4573	G:[Carbohydrate transport and metabolism]	1
P	ABC-type taurine transport system, ATPase component	Inorganic ion transport and metabolism	COG4525	P:[Inorganic ion transport and metabolism]	1
P	ABC-type sulfate transport system, periplasmic component	Inorganic ion transport and metabolism	COG4150	P:[Inorganic ion transport and metabolism]	1
F	Non-canonical (house-cleaning) NTP pyrophosphatase, all-alpha NTP-PPase family	Nucleotide transport and metabolism	COG1986	F:[Nucleotide transport and metabolism]	1
V	Aminoglycoside N3'-acetyltransferase	Defense mechanisms	COG2746	V:[Defense mechanisms]	1
J	23S rRNA maturation mini-RNase III	Translation, ribosomal structure and biogenesis	COG1939	J:[Translation, ribosomal structure and biogenesis]	1
Q	Muconolactone delta-isomerase	Secondary metabolites biosynthesis, transport and catabolism	COG4829	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
Q	Isochorismate hydrolase	Secondary metabolites biosynthesis, transport and catabolism	COG1535	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
P	Putative heme degradation protein	Inorganic ion transport and metabolism	COG3720	P:[Inorganic ion transport and metabolism]	1
F	Ureidoglycine aminohydrolase	Nucleotide transport and metabolism	COG3257	F:[Nucleotide transport and metabolism]	1
J	Ribosomal protein L7Ae or related RNA K-turn-binding protein	Translation, ribosomal structure and biogenesis	COG1358	J:[Translation, ribosomal structure and biogenesis]	1
D	Sporulation protein SpoIID (lytic transglycosylase)	Cell cycle control, cell division, chromosome partitioning	COG2385	D:[Cell cycle control, cell division, chromosome partitioning]	1
P	ABC-type iron transport system FetAB, permease component	Inorganic ion transport and metabolism	COG0390	P:[Inorganic ion transport and metabolism]	1
C	DMSO reductase anchor subunit DmsC	Energy production and conversion	COG3302	C:[Energy production and conversion]	1
J	Oligoribonuclease NrnA/c-di-AMP phosphodiesterase DhhP, DHH superfamily	Translation, ribosomal structure and biogenesis	COG2404	J:[Translation, ribosomal structure and biogenesis]	1
M	Glycosyltransferase involved in LPS biosynthesis, GR25 family	Cell wall/membrane/envelope biogenesis	COG3306	M:[Cell wall/membrane/envelope biogenesis]	1
X	Prophage maintenance system killer protein	Mobilome: prophages, transposons	COG3654	X:[Mobilome: prophages, transposons]	1
I	3-hydroxy-3-methylglutaryl CoA synthase	Lipid transport and metabolism	COG3425	I:[Lipid transport and metabolism]	1
E	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	Amino acid transport and metabolism	COG1775	E:[Amino acid transport and metabolism]	1
T	RseC, positive regulator of sigma E activity	Signal transduction mechanisms	COG3086	T:[Signal transduction mechanisms]	1
M	Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme)	Cell wall/membrane/envelope biogenesis	COG2348	M:[Cell wall/membrane/envelope biogenesis]	1
E	Formiminotetrahydrofolate cyclodeaminase	Amino acid transport and metabolism	COG3404	E:[Amino acid transport and metabolism]	1
C	Iron only hydrogenase large subunit, C-terminal domain	Energy production and conversion	COG4624	C:[Energy production and conversion]	1
E	Tryptophanase	Amino acid transport and metabolism	COG3033	E:[Amino acid transport and metabolism]	1
E	Anaerobic glycerol-3-phosphate dehydrogenase	Amino acid transport and metabolism	COG3075	E:[Amino acid transport and metabolism]	1
G	L-rhamnose isomerase	Carbohydrate transport and metabolism	COG4806	G:[Carbohydrate transport and metabolism]	1
V	CRISPR-Cas system type III CSM-effector complex subunit Csm3, RAMP superfamily Cas7 group	Defense mechanisms	COG1337	V:[Defense mechanisms]	1
C	Aldehyde:ferredoxin oxidoreductase	Energy production and conversion	COG2414	C:[Energy production and conversion]	1
V	CRISPR-Cas type I system-associated endonuclease/helicase Cas3	Defense mechanisms	COG1203	V:[Defense mechanisms]	1
C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit	Energy production and conversion	COG1144	C:[Energy production and conversion]	1
L	Thermostable 8-oxoguanine DNA glycosylase	Replication, recombination and repair	COG1059	L:[Replication, recombination and repair]	1
X	IS4 transposase InsG	Mobilome: prophages, transposons	COG3385	X:[Mobilome: prophages, transposons]	1
E	Lysine export protein LysO/YbjE, DUF340 family	Amino acid transport and metabolism	COG2431	E:[Amino acid transport and metabolism]	1
S	Uncharacterized conserved protein, contains a von Willebrand factor type A (vWA) domain	Function unknown	COG2425	S:[Function unknown]	1
T	sRNA-binding protein ProQ	Signal transduction mechanisms	COG3109	T:[Signal transduction mechanisms]	1
K	Competence transcription factor ComK	Transcription	COG4903	K:[Transcription]	1
K	Transcriptional regulator of NAD metabolism, contains HTH and 3H domains	Transcription	COG1827	K:[Transcription]	1
S	Uncharacterized membrane protein YhdT	Function unknown	COG3924	S:[Function unknown]	1
H	Thiamine transporter ThiT	Coenzyme transport and metabolism	COG3859	H:[Coenzyme transport and metabolism]	1
S	Uncharacterized membrane protein YesL	Function unknown	COG5578	S:[Function unknown]	1
H	Riboflavin transporter FmnP/RibU	Coenzyme transport and metabolism	COG3601	H:[Coenzyme transport and metabolism]	1
G	Beta- N-acetylglucosaminidase	Carbohydrate transport and metabolism	COG4193	G:[Carbohydrate transport and metabolism]	1
H	Membrane component of ECF-type riboflavin transportert	Coenzyme transport and metabolism	COG4720	H:[Coenzyme transport and metabolism]	1
E	Ethanolamine utilization protein EutL, microcompartment shell protein	Amino acid transport and metabolism	COG4816	E:[Amino acid transport and metabolism]	1
S	Uncharacterized conserved protein, DUF799 domain	Function unknown	COG4380	S:[Function unknown]	1
V	5-methylcytosine-specific restriction endonuclease McrBC, regulatory subunit McrC	Defense mechanisms	COG4268	V:[Defense mechanisms]	1
E	Ethanolamine utilization protein EutP, contains a P-loop NTPase domain	Amino acid transport and metabolism	COG4917	E:[Amino acid transport and metabolism]	1
E	Ethanolamine utilization protein EutS, microcompartment shell protein	Amino acid transport and metabolism	COG4810	E:[Amino acid transport and metabolism]	1
D	Spore protein YtfJ/GerW, could be involved in germination	Cell cycle control, cell division, chromosome partitioning	COG3874	D:[Cell cycle control, cell division, chromosome partitioning]	1
M	Membrane protein TolA involved in colicin uptake	Cell wall/membrane/envelope biogenesis	COG3064	M:[Cell wall/membrane/envelope biogenesis]	1
G	ABC-type glucose/galactose transport system, permease component	Carbohydrate transport and metabolism	COG4211	G:[Carbohydrate transport and metabolism]	1
X	Phage terminase large subunit	Mobilome: prophages, transposons	COG1783	X:[Mobilome: prophages, transposons]	1
H	Cobalt-precorrin 5A hydrolase	Coenzyme transport and metabolism	COG2073	H:[Coenzyme transport and metabolism]	1
G	Beta-mannanase	Carbohydrate transport and metabolism	COG4124	G:[Carbohydrate transport and metabolism]	1
S	Uncharacterized conserved protein YwqG, DUF1963 family	Function unknown	COG3878	S:[Function unknown]	1
G	Phosphotransferase system IIA component	Carbohydrate transport and metabolism	COG2190	G:[Carbohydrate transport and metabolism]	1
H	ABC-type thiamine/hydroxymethylpyrimidine transport system, permease component	Coenzyme transport and metabolism	COG4721	H:[Coenzyme transport and metabolism]	1
M	Regulator of extracellular matrix RemA, YlzA/DUF370 family	Cell wall/membrane/envelope biogenesis	COG2052	M:[Cell wall/membrane/envelope biogenesis]	1
S	Uncharacterized conserved protein YvlB, contains  DUF4097 and DUF4098 domains	Function unknown	COG3595	S:[Function unknown]	1
S	Stage V sporulation protein SpoVS, predicted DNA-binding, AlbA superfamily	Function unknown	COG2359	S:[Function unknown]	1
